1,2,3,4,5,6,Category
23,89,89,104,18,3.0,2
26,65,89,36,18,3.0,2
26,75,92,24,26,3.0,2
25,59,85,25,20,3.0,2
18,61,92,81,13,3.0,2
29,107,88,50,20,4.0,2
22,76,87,9,55,4.0,2
28,86,87,21,23,4.0,2
26,42,87,17,23,4.0,2
24,80,88,17,25,4.0,2
34,96,90,169,49,4.0,2
11,67,86,8,15,4.0,2
19,40,92,21,20,4.0,2
17,60,85,14,21,4.0,2
15,90,89,25,17,4.0,2
15,57,91,16,16,4.0,2
48,55,96,42,39,4.0,2
17,101,79,23,27,4.0,2
14,134,90,14,20,4.0,2
14,76,89,24,21,4.0,2
29,93,88,31,27,4.0,2
10,67,90,16,16,4.0,2
24,73,92,48,21,4.0,2
28,55,91,82,28,4.0,2
19,45,83,13,21,4.0,2
19,74,90,22,14,4.0,2
47,78,86,107,39,5.0,2
113,44,97,150,45,5.0,2
15,59,87,12,19,5.0,2
21,44,86,15,11,5.0,2
16,64,87,24,20,5.0,2
21,57,92,22,23,5.0,2
25,70,90,112,23,5.0,2
17,59,99,11,19,5.0,2
67,56,82,92,38,6.0,2
27,82,92,37,24,6.0,2
12,63,90,21,26,6.0,2
9,37,88,16,15,6.0,2
29,60,100,76,23,6.0,2
35,43,98,69,23,6.0,2
87,74,91,67,50,6.0,2
57,87,92,44,25,6.0,2
36,99,93,48,34,6.0,2
17,72,90,19,19,6.0,2
21,93,97,68,20,6.0,2
18,50,93,17,25,6.0,2
20,57,90,33,26,6.0,2
31,76,92,41,28,6.0,2
19,55,88,14,17,6.0,2
24,63,89,29,29,6.0,2
58,84,93,62,47,7.0,2
25,69,91,66,25,8.0,2
17,59,93,14,20,8.0,2
85,95,92,200,48,8.0,2
26,50,90,53,22,8.0,2
59,62,91,60,47,8.0,2
22,66,86,26,24,10.0,2
31,57,98,73,34,10.0,2
50,80,95,55,64,10.0,2
53,108,92,94,33,12.0,2
22,92,97,49,28,12.0,2
41,97,84,32,20,0.0,2
41,101,94,53,20,0.5,2
29,46,88,18,22,0.5,2
35,122,88,42,29,0.5,2
28,88,84,35,25,0.5,2
18,79,90,24,15,0.5,2
22,69,87,11,26,0.5,2
19,63,65,14,20,0.5,2
12,64,90,14,17,0.5,2
18,58,85,16,24,0.5,2
41,81,88,36,27,0.5,2
52,78,86,62,29,0.5,2
38,74,82,48,28,0.5,2
36,58,86,59,27,0.5,2
30,56,94,27,18,0.5,2
30,57,87,22,30,0.5,2
148,74,98,159,75,0.5,2
20,75,94,38,25,0.5,2
17,68,83,71,20,0.5,2
25,56,93,33,21,0.5,2
18,65,101,22,21,0.5,2
25,65,92,31,20,0.5,2
14,58,92,13,16,0.5,2
16,58,86,23,23,0.5,2
15,62,85,22,13,0.5,2
13,57,86,13,20,0.5,2
26,54,86,13,30,0.5,2
45,63,90,85,24,1.0,2
21,92,87,37,22,1.0,2
31,78,83,115,19,1.0,2
24,62,95,14,23,1.0,2
41,59,93,48,30,1.0,2
18,44,91,23,18,2.0,2
37,75,87,70,19,2.0,2
30,91,94,25,26,2.0,2
14,85,88,10,15,2.0,2
26,109,89,27,25,2.0,2
37,59,87,34,27,2.0,2
20,58,93,18,23,2.0,2
9,57,88,16,15,2.0,2
21,64,91,26,17,3.0,2
35,47,88,33,26,3.0,2
31,72,82,84,20,3.0,2
83,58,85,51,49,3.0,2
27,50,98,53,25,4.0,2
29,62,86,26,21,4.0,2
32,48,89,14,22,4.0,2
20,68,82,9,22,4.0,2
17,70,83,23,19,4.0,2
21,70,96,21,26,4.0,2
77,117,94,52,56,4.0,2
11,45,93,21,14,4.0,2
27,49,93,29,21,4.0,2
